ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,PURCHASE COUNTRY,COLLECTION_DATE,INVESTIGATION TYPE
1667,Food-Spice,Tandoori Masala,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNITED STATES,UNITED STATES,06/14/2016 12:00:00 AM,C
1668,Food-Spice,Japanese sea weed,Lead,0.48,ppm,UNKNOWN OR NOT STATED,JAPAN,JAPAN,06/17/2016 12:00:00 AM,C
1669,Other,Japanese lacquer,Lead,7.3,ppm,UNKNOWN OR NOT STATED,JAPAN,JAPAN,06/17/2016 12:00:00 AM,C
1670,Other,Lacquer,Lead,6.5,ppm,UNKNOWN OR NOT STATED,JAPAN,JAPAN,06/17/2016 12:00:00 AM,C
1671,Toys/Children's Products,Wooden puzzle,Lead,18,ppm,UNKNOWN OR NOT STATED,UNITED STATES,UNITED STATES,06/17/2016 12:00:00 AM,C
1672,Toys/Children's Products,Wooden puzzle,Lead,16,ppm,UNKNOWN OR NOT STATED,UNITED STATES,UNITED STATES,06/17/2016 12:00:00 AM,C
1673,Food-Spice,Red Spice,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,06/21/2016 12:00:00 AM,C
1674,Food-Spice,Turmeric,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,06/21/2016 12:00:00 AM,C
1675,Cosmetics,Surma Nargisi,Lead,470000,ppm,HAMDARD LABORATORIES,PAKISTAN,PAKISTAN,06/23/2016 12:00:00 AM,C
1676,Jewelry,Bracelet,Lead,150,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,06/24/2016 12:00:00 AM,C
1677,Food-Spice,Chili Powder,Lead,0.55,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,07/01/2016 00:00,C
1678,Food-Spice,Turmeric Powder,Lead,380,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,07/01/2016 00:00,C
1679,Food-Spice,Cumin Powder,Lead,7.9,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,07/01/2016 00:00,C
1680,Food-Spice,"Seasoning ""For legs""",Lead,-1,ppm,Vitex/Russian Appetite,RUSSIAN FEDERATION,UNITED STATES,07/01/2016 00:00,S
1681,Food-Spice,Seasoning for mutton,Lead,-1,ppm,Arikon,RUSSIAN FEDERATION,UNITED STATES,07/01/2016 00:00,S
1682,Food-Spice,"Seasoning for ""Roasting Meat""",Lead,0.24,ppm,Russian Appetite/Vitex,RUSSIAN FEDERATION,UNITED STATES,07/01/2016 00:00,S
1683,Food-Spice,Red Chilly Pepper Powder/Traditional Piquant Spice,Lead,0.25,ppm,Aroma Product Ltd.,GEORGIA,UNITED STATES,07/01/2016 00:00,S
1684,Food-Spice,Ground Red Hot Pepper,Lead,0.52,ppm,Arikon,RUSSIAN FEDERATION,UNITED STATES,07/01/2016 00:00,S
1685,Food-Spice,Fenugreek,Lead,0.25,ppm,Mtskheta Food Company Ltd.,GEORGIA,UNITED STATES,07/01/2016 00:00,S
1686,Food-Spice,Barberry,Lead,0.86,ppm,Mtskheta Food Company Ltd.,GEORGIA,UNITED STATES,07/01/2016 00:00,S
1687,Food-Spice,Saffron,Lead,14,ppm,UNKNOWN OR NOT STATED,GEORGIA,UNITED STATES,07/01/2016 00:00,S
1688,Food-Spice,Khmeli Suneli,Lead,0.4,ppm,Magic Tree,RUSSIAN FEDERATION,UNITED STATES,07/01/2016 00:00,S
1689,Food-Spice,Seasoning as pic,Lead,-1,ppm,Arikon,RUSSIAN FEDERATION,UNITED STATES,07/01/2016 00:00,S
1690,Food-Spice,Packaging info is in a foreign language,Lead,-1,ppm,Arikon,RUSSIAN FEDERATION,UNITED STATES,07/01/2016 00:00,S
1691,Food-Spice,Seasoning for meat,Lead,-1,ppm,Arikon,RUSSIAN FEDERATION,UNITED STATES,07/01/2016 00:00,S
1692,Food-Spice,Fenugreek,Lead,-1,ppm,Georgian Nectar,GEORGIA,UNITED STATES,07/01/2016 00:00,S
1693,Food-Spice,Khmeli Suneli,Lead,-1,ppm,Georgian Nectar,GEORGIA,UNITED STATES,07/01/2016 00:00,S
1694,Food-Spice,Humeli-Suneli,Lead,0.39,ppm,Arikon,RUSSIAN FEDERATION,UNITED STATES,07/01/2016 00:00,S
1695,Food-Spice,Turmeric,Lead,0.4,ppm,Arikon,RUSSIAN FEDERATION,UNITED STATES,07/01/2016 00:00,S
1696,Food-Spice,Coriander,Lead,-1,ppm,Mtskheta Food Company Ltd,GEORGIA,UNITED STATES,07/01/2016 00:00,S
1697,Food-Spice,Svanetian salt,Lead,-1,ppm,Georgian Nectar,GEORGIA,UNITED STATES,07/01/2016 00:00,S
1698,Food-Spice,Maras Hot Pepper,Lead,0.44,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,07/01/2016 00:00,S
1699,Food-Spice,Chile Molido,Lead,0.26,ppm,UNKNOWN OR NOT STATED,MEXICO,UNITED STATES,07/01/2016 00:00,S
1700,Food-Spice,Vegeta,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,07/02/2016 00:00,C
1701,Food-Spice,Red pepper powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,INDIA,07/05/2016 00:00,C
1702,Food-Spice,Cumin,Lead,0.44,ppm,UNKNOWN OR NOT STATED,INDIA,INDIA,07/05/2016 00:00,C
1703,Food-Spice,Coriander,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,INDIA,07/05/2016 00:00,C
1704,Food-Spice,Mixed curry powder,Lead,1.6,ppm,UNKNOWN OR NOT STATED,INDIA,INDIA,07/05/2016 00:00,C
1705,Toys/Children's Products,Yellow toy taxi cab,Lead,110,ppm,UNKNOWN OR NOT STATED,CHINA,UNITED STATES,07/05/2016 00:00,C
1706,Dietary Supplement/Medications/Remedy,Maca magic,Arsenic,-1,ppm,Herbs America Company,UNITED STATES,UNITED STATES,07/11/2016 00:00,A
1707,Dietary Supplement/Medications/Remedy,Maca magic,Lead,-1,ppm,Herbs America Company,UNITED STATES,UNITED STATES,07/11/2016 00:00,A
1708,Dietary Supplement/Medications/Remedy,Maca magic,Mercury,-1,ppm,Herbs America Company,UNITED STATES,UNITED STATES,07/11/2016 00:00,A
1709,Cosmetics,Jordana Quick Liner Eyes,Lead,-1,ppm,Jordana Cosmetics Corp,UNITED STATES,UNITED STATES,07/11/2016 00:00,A
1710,Food-Spice,Chili,Lead,-1,ppm,UNKNOWN OR NOT STATED,MEXICO,UNITED STATES,07/12/2016 00:00,C
1711,Food-Candy,Paleton,Lead,-1,ppm,La Corona,MEXICO,UNITED STATES,07/12/2016 00:00,C
1712,Food-Candy,manita de la suerte,Lead,-1,ppm,Veto,MEXICO,UNITED STATES,07/12/2016 00:00,C
1713,Food-Candy,Palerindas,Lead,-1,ppm,Vero dulces,MEXICO,MEXICO,07/22/2016 12:00:00 AM,C
1714,Food Other,Tamal,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,07/22/2016 12:00:00 AM,C
1715,Food Other,Chamoy,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,07/22/2016 12:00:00 AM,C
1716,Food Other,Squash seeds (kalabasa),Lead,-1,ppm,UNKNOWN OR NOT STATED,MEXICO,MEXICO,07/22/2016 12:00:00 AM,C
1717,Food Other,Red chili,Lead,-1,ppm,UNKNOWN OR NOT STATED,MEXICO,MEXICO,07/22/2016 12:00:00 AM,C
1718,Food Other,Sweet,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNITED STATES,UNITED STATES,07/22/2016 12:00:00 AM,C
1719,Food Other,Cheese,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNITED STATES,UNITED STATES,07/22/2016 12:00:00 AM,C
1720,Food Other,Cheese,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,07/22/2016 12:00:00 AM,C
1721,Jewelry,Bracelet,Lead,1.6,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,07/24/2016 12:00:00 AM,C
1722,Cosmetics,Intimo Shampoo de Uso Diario,Lead,-1,ppm,"Genomma Lab International, S.A.B de C.V.",MEXICO,UNKNOWN OR NOT STATED,07/29/2016 12:00:00 AM,A
1723,Cosmetics,Tododia--Jabon liquido para cuerpo,Lead,-1,ppm,Natura,BRAZIL,UNKNOWN OR NOT STATED,07/29/2016 12:00:00 AM,A
1724,Cosmetics,Natura Chronos Hydra,Lead,-1,ppm,Natura,BRAZIL,UNKNOWN OR NOT STATED,07/29/2016 12:00:00 AM,A
1725,Cosmetics,Natura Chronos Hydra,Mercury,-1,ppm,Natura,BRAZIL,UNKNOWN OR NOT STATED,07/29/2016 12:00:00 AM,A
1726,Cosmetics,Natura Una base fluida FPS 15,Lead,0.23,ppm,Natura,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,07/29/2016 12:00:00 AM,A
1727,Cosmetics,Natura Una base fluida FPS 15,Mercury,-1,ppm,Natura,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,07/29/2016 12:00:00 AM,A
1728,Jewelry,Gold plated bracelets,Lead,2.1,ppm,UNKNOWN OR NOT STATED,UNITED STATES,UNITED STATES,07/29/2016 12:00:00 AM,C
1729,Food-Spice,Chili Powder,Lead,1.3,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,07/29/2016 12:00:00 AM,C
1730,Food-Spice,Cinnamon Powder,Lead,0.93,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,07/29/2016 12:00:00 AM,C
1731,Food-Spice,Turmeric,Lead,230,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,07/29/2016 12:00:00 AM,C
